slug	company_name	job_title	primary_role	stage	next_action	suggested_intent	follow_up_due	days_since_anchor	contact_name	package_generated_on	communication_log	latest_cv_pdf	latest_cover_letter_pdf
4flow-se-working-student-ai-driven-consulting-d-f-m	4flow SE	Working Student - AI-Driven Consulting (d/f/m)	ai_product_ops	package_generated	confirm_if_application_was_sent	none	no			2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/4flow-se-working-student-ai-driven-consulting-d-f-m/cv/resume-le-cuong-nguyen-working-student-ai-driven-consulting-d-f-m-20260412-161104.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/4flow-se-working-student-ai-driven-consulting-d-f-m/cover-letter/cover-letter-le-cuong-nguyen-working-student-ai-driven-consulting-d-f-m-20260412-161104.pdf
4screen-analytics-data-science-working-student-f-m-x	4screen	Analytics & Data Science Working Student (f/m/x)	business_analyst	package_generated	confirm_if_application_was_sent	none	no		Celine Exenberger	2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/4screen-analytics-data-science-working-student-f-m-x/cv/resume-le-cuong-nguyen-analytics-data-science-working-student-f-m-x-20260412-182017.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/4screen-analytics-data-science-working-student-f-m-x/cover-letter/cover-letter-le-cuong-nguyen-analytics-data-science-working-student-f-m-x-20260412-182017.pdf
acteno-energy-gmbh-internships-working-student-ai-meets-energy-hybrid-energy-systems-for-h2-storage-renewable-energies	acteno energy GmbH	Internships / Working Student AI Meets Energy - Hybrid Energy Systems for H2 / Storage / Renewable Energies	ai_product_ops	package_generated	confirm_if_application_was_sent	none	no			2026-04-13		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/acteno-energy-gmbh-internships-working-student-ai-meets-energy-hybrid-energy-systems-for-h2-storage-renewable-energies/cv/resume-le-cuong-nguyen-internships-working-student-ai-meets-energy-hybrid-energy-systems-for-h2-storage-renewable-energies-20260413-110420.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/acteno-energy-gmbh-internships-working-student-ai-meets-energy-hybrid-energy-systems-for-h2-storage-renewable-energies/cover-letter/cover-letter-le-cuong-nguyen-internships-working-student-ai-meets-energy-hybrid-energy-systems-for-h2-storage-renewable-energies-20260413-110420.pdf
acteno-energy-gmbh-praktikum-werkstudium-smart-energy-systems	acteno energy GmbH	Praktikum / Werkstudium Smart Energy Systems	ai_product_ops	reply_pending	draft_reply	reply	no	13	Dra. Sheila Kawamoto, COO, acteno energy GmbH	2026-04-13	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/acteno-energy-gmbh-praktikum-werkstudium-smart-energy-systems/communication-log.md	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/acteno-energy-gmbh-praktikum-werkstudium-smart-energy-systems/cv/resume-le-cuong-nguyen-praktikum-werkstudium-smart-energy-systems-20260413-111254.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/acteno-energy-gmbh-praktikum-werkstudium-smart-energy-systems/cover-letter/cover-letter-le-cuong-nguyen-praktikum-werkstudium-smart-energy-systems-20260413-111254.pdf
aim-infrarot-module-gmbh-diehl-defence-werkstudent-m-w-d-digitalisierung-von-geschaftsprozessen	AIM Infrarot-Module GmbH / Diehl Defence	Werkstudent (m/w/d) Digitalisierung von Geschäftsprozessen	business_analyst	package_generated	confirm_if_application_was_sent	none	no		Cornelia Reisser	2026-03-28		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/aim-infrarot-module-gmbh-diehl-defence-werkstudent-m-w-d-digitalisierung-von-geschaftsprozessen/cv/resume-cuong-le-nguyen-werkstudent-m-w-d-digitalisierung-von-geschaftsprozessen-20260328-233212.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/aim-infrarot-module-gmbh-diehl-defence-werkstudent-m-w-d-digitalisierung-von-geschaftsprozessen/cover-letter/cover-letter-cuong-le-nguyen-werkstudent-m-w-d-digitalisierung-von-geschaftsprozessen-20260328-233212.pdf
appliedai-initiative-gmbh-working-student-m-f-x-instructional-design	appliedAI Initiative GmbH	Working Student (m/f/x) - Instructional Design	implementation_enablement	package_generated	confirm_if_application_was_sent	none	no		Lucas Fernandes	2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/appliedai-initiative-gmbh-working-student-m-f-x-instructional-design/cv/resume-le-cuong-nguyen-working-student-m-f-x-instructional-design-20260412-144757.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/appliedai-initiative-gmbh-working-student-m-f-x-instructional-design/cover-letter/cover-letter-le-cuong-nguyen-working-student-m-f-x-instructional-design-20260412-144757.pdf
aptiv-working-student-in-software-team-m-w-d	Aptiv	Working student in Software Team (m/w/d)	implementation_enablement	package_generated	confirm_if_application_was_sent	none	no			2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/aptiv-working-student-in-software-team-m-w-d/cv/resume-le-cuong-nguyen-working-student-in-software-team-m-w-d-20260412-194108.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/aptiv-working-student-in-software-team-m-w-d/cover-letter/cover-letter-le-cuong-nguyen-working-student-in-software-team-m-w-d-20260412-194108.pdf
audi-ag	AUDI AG	Praktikum – Digitales After Sales Business (w/m/d)	product_manager	closed_rejected	archive_or_reapply_later	reply	no	15	Michael Karmann, Recruiting, AUDI AG	2026-03-27	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/audi-ag/communication-log.md	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/audi-ag/cv/product_manager.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/audi-ag/cover-letter/cover_letter.pdf
bosch-group-werkstudent-cleanroom-process-quality-w-m-div	Bosch Group	Werkstudent Cleanroom Process & Quality (w/m/div.)	quality_compliance_ops	package_generated	confirm_if_application_was_sent	none	no			2026-04-14		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/bosch-group-werkstudent-cleanroom-process-quality-w-m-div/cv/resume-le-cuong-nguyen-werkstudent-cleanroom-process-quality-w-m-div-20260414-001440.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/bosch-group-werkstudent-cleanroom-process-quality-w-m-div/cover-letter/cover-letter-le-cuong-nguyen-werkstudent-cleanroom-process-quality-w-m-div-20260414-001440.pdf
cinemo-gmbh-working-student-genai-llm-evaluation-agentic-ai-nlp-f-m-d	Cinemo GmbH	Working Student – GenAI / LLM Evaluation – Agentic AI / NLP (f/m/d)	ai_product_ops	package_generated	confirm_if_application_was_sent	none	no			2026-04-12		/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/cinemo-gmbh-working-student-genai-llm-evaluation-agentic-ai-nlp-f-m-d/cv/resume-le-cuong-nguyen-working-student-genai-llm-evaluation-agentic-ai-nlp-f-m-d-20260412-154659.pdf	/Users/pmlecuong/Documents/CuongProjects/CuongCV/application-system/outputs/cinemo-gmbh-working-student-genai-llm-evaluation-agentic-ai-nlp-f-m-d/cover-letter/cover-letter-le-cuong-nguyen-working-student-genai-llm-evaluation-agentic-ai-nlp-f-m-d-20260412-154659.pdf
